COUNTRY,GLOBAL MARKET,QUANTITY,S.NO.,SALES CHANNEL,CUSTOMER NAME,PAYMENT METHOD,SALES MODEL,CATEGORY,PAYMENT STATUS,SHIPPING STATUS,UNIT PRICE,TOTAL REVENUE,DISCOUNT AMOUNT,DISCOUNT APPLIED,TAX APPLIED,TAX AMOUNT,NET SALES,GROSS SALES,PROFIT,ORDER DATE,DELIVERY DATE,RATING,REFERRAL SOURCE ,REPEAT PURCHASE,COURIER PARTNER,AVERAGE ORDER VALUE,CITY,CUSTOMER TYPE,DELIVERY TYPE,SUB CATEGORY,CURRENCY,COUPON CODE USED,SOURCE OF TRAFFIC,STOCK AVAILIBILITY,CUSTOMER REVIEW COMMENT,SHIPPING AMOUNT,EMI STATUS,CUSTOMER AGE 
Netherlands,0.5,135,17,Bol.com,Aisha Johansson,Payment Gateways,B2C AND C2C,HOME,Refunded,RETURNED,36753,4961655,5512.95,15%,18%,893097.9,4956142.05,31240.05,4068557.1,17-01-2023,21-01-2023,2.5,app,no,Xpressbees,36753,Amsterdam,RETURNING,International Delivery,Furniture,Euro,yes,email,no,WORST,367.53,Pre-Approved EMI,36
Sweden,0.5,191,18,CDON,Thiago Coleman,COD,B2C AND C2C,fitness,Cancelled,IN TRANSIT,26552,5071432,3982.8,15%,18%,912857.76,5067449.2,22569.2,4158574.24,18-01-2023,22-01-2023,1.1,app,no,Blue Dart,26552,Stockholm,NEW,Scheduled Delivery,Treadmills,Swedish Krona,no,google ads,yes,BAD,265.52,BNPL (Buy Now Pay Later),27
singapore,0.4,129,19,Qoo10,Elise Ocampo,Cryptocurreny,B2C AND C2C,korean goods,Failed,DELIVERED,38295,4940055,5744.25,15%,18%,889209.9,4934310.75,32550.75,4050845.1,19-01-2023,23-01-2023,2.3,Website,yes,FedEx,38295,singapore,RETURNING,EXPRESS,Instant Ramen,Dollar,yes,Social Media,no,GOOD,382.95,EMI Declined,34
France,2.6,138,20,Cdiscount,Ethan Pereira,UPI,B2C,toys,Refunded,RETURNED,22094,3048972,3314.1,15%,18%,548814.96,3045657.9,18779.9,2500157.04,20-01-2023,24-01-2023,4.6,app,yes,FedEx,22094,Paris,NEW,STANDARD,Dolls & Dollhouses,Euro,no,Social Media,yes,BAD,220.94,Bank EMI,25
Australia,1,176,21,Catch,Naomi Morales,Net Banking,B2C,daily deals,Cancelled,IN TRANSIT,34553,6081328,5182.95,15%,18%,1094639.04,6076145.05,29370.05,4986688.96,21-01-2023,25-01-2023,4.4,Direct,yes,DHL Express,34553,Melbourne,RETURNING,Next-Day Delivery,Today Only Deals,Dollar,yes,Influencer blogs,no,GOOD,345.53,YES,22
Brazil,1.3,116,22,Magalu,Saanvi Saeed,Debit Card,B2C,furniture,Paid,IN TRANSIT,29346,3404136,4401.9,15%,18%,612744.48,3399734.1,24944.1,2791391.52,22-01-2023,26-01-2023,1.7,Social Media,no,Blue Dart,29346,Rio de Janeiro,NEW,International Delivery,Sofas & Couches,Brazilian Real,no,Social Media,no,GOOD,293.46,NO,29
Mexico,1.2,239,23,Mercado Libre,Mateo Reyes,Digital Wallets,B2C AND C2C,ELECTRONICS,Pending,RETURNED,45147,10790133,6772.05,15%,18%,1942223.94,10783360.95,38374.95,8847909.06,23-01-2023,27-01-2023,2.9,Social Media,yes,FedEx,45147,Guadalajara,RETURNING,EXPRESS,Streaming Devices,Mexican Peso,no,YouTube ads,yes,EXCELLENT,451.47,NO,45
italy,0.8,166,24,Zalando,Ivy Ali,BNPL,B2C,shoes,Paid,DELIVERED,22154,3677564,3323.1,15%,18%,661961.52,3674240.9,18830.9,3015602.48,24-01-2023,28-01-2023,3.9,Direct,no,Shadowfax,22154,Rome,NEW,Locker Delivery,Sneakers,Euro,yes,directly,yes,WORST,221.54,YES,49
Russia,0.7,285,25,Ozon,Naomi Matthews,UPI,B2C AND C2C,BOOKS,Cancelled,DELIVERED,21880,6235800,3282,15%,18%,1122444,6232518,18598,5113356,25-01-2023,29-01-2023,4.7,app,no,DHL Express,21880,Saint Petersburg,RETURNING,International Delivery,non-fiction,Russian Ruble,yes,Social Media,yes,EXCELLENT,218.8,BNPL (Buy Now Pay Later),48
Spain,0.7,282,26,PCComponentes,Luca Gonzalez,Digital Wallets,B2C,computer parts,Pending,RETURNED,35444,9995208,5316.6,15%,18%,1799137.44,9989891.4,30127.4,8196070.56,26-01-2023,30-01-2023,3.5,Website,yes,Ecom Express,35444,Barcelona,NEW,Next-Day Delivery,Storage Devices,Euro,no,google ads,no,WORST,354.44,Not Available,44
Turkey,0.6,236,27,Hepsiburada,Elina Clarke,Credit Card,B2C,toys,Refunded,IN TRANSIT,37475,8844100,5621.25,15%,18%,1591938,8838478.75,31853.75,7252162,27-01-2023,31-01-2023,1.8,Social Media,yes,Xpressbees,37475,Ankara,RETURNING,STANDARD,Plush Toys,Turkish Lira,no,email,yes,BAD,374.75,Bank EMI,46
Netherlands,0.5,258,28,Coolblue,Caleb Zhang,Payment Gateways,B2C,smartphones,Cancelled,DELIVERED,20151,5198958,3022.65,15%,18%,935812.44,5195935.35,17128.35,4263145.56,28-01-2023,01-02-2023,4.2,Direct,yes,DTDC,20151,Rotterdam,NEW,EXPRESS,Samsung,Euro,yes,Influencer blogs,no,GOOD,201.51,Debit Card EMI,37
Sweden,0.5,142,29,Elgiganten,Lila Romano,COD,B2C,tv&audio,Failed,DELIVERED,34214,4858388,5132.1,15%,18%,874509.84,4853255.9,29081.9,3983878.16,29-01-2023,02-02-2023,3,app,no,FedEx,34214,Gothenburg,RETURNING,Locker Delivery,Smart TVs,Swedish Krona,no,YouTube ads,yes,WORST,342.14,Pre-Approved EMI,28
singapore,0.4,152,30,Amazon SG,Noor Noorani,Cryptocurreny,B2C,fashion,Refunded,RETURNED,22382,3402064,3357.3,15%,18%,612371.52,3398706.7,19024.7,2789692.48,30-01-2023,03-02-2023,3.8,Website,yes,Blue Dart,22382,singapore,RETURNING,EXPRESS,Sunglasses,Dollar,no,Influencer Marketing,no,EXCELLENT,223.82,Card EMI,26
France,2.6,104,31,Amazon FR,Amira Romero,UPI,B2C AND C2C,fashion,Cancelled,IN TRANSIT,39122,4068688,5868.3,15%,18%,732363.84,4062819.7,33253.7,3336324.16,31-01-2023,04-02-2023,4.9,app,no,Xpressbees,39122,Marseille,RETURNING,International Delivery,Sneakers,Euro,yes,directly,yes,WORST,391.22,BNPL (Buy Now Pay Later),24
China,50,207,32,JD.com,Dante Laurent,Debit Card,B2C,Appliances,Paid,DELIVERED,23305,4824135,3495.75,15%,18%,868344.3,4820639.25,19809.25,3955790.7,01-02-2023,05-02-2023,3.3,Social Media,yes,DTDC,23305,Shenzhen,RETURNING,Next-Day Delivery,Air Conditioners,Chinese Yuan,yes,email,no,BAD,233.05,Pre-Approved EMI,19
US,27,264,33,Walmart,Gemma Shukla,Cryptocurreny,B2C,home goods,Pending,RETURNED,23249,6137736,3487.35,15%,18%,1104792.48,6134248.65,19761.65,5032943.52,02-02-2023,06-02-2023,1.2,Website,no,Shadowfax,23249,New York City,RETURNING,STANDARD,Home Décor,Dollar,no,YouTube ads,yes,GOOD,232.49,YES,32
Japan,3.9,153,34,Yahoo! Shopping,Isaac Mori,COD,B2C,Grocery,Paid,IN TRANSIT,25163,3849939,3774.45,15%,18%,692989.02,3846164.55,21388.55,3156949.98,03-02-2023,07-02-2023,2.5,app,yes,DHL Express,25163,Nagoya,NEW,EXPRESS,Dairy & Eggs,Japanese Yen,yes,YouTube ads,no,EXCELLENT,251.63,NO,41
UK,2.9,234,35,Amazon UK,Reina Brown,Credit Card,B2C AND C2C,BOOKS,Cancelled,IN TRANSIT,37448,8762832,5617.2,15%,18%,1577309.76,8757214.8,31830.8,7185522.24,04-02-2023,08-02-2023,1.1,Direct,yes,Shadowfax,37448,Manchester,RETURNING,International Delivery,Business & Finance,British Pound Sterling,yes,email,yes,EXCELLENT,374.48,BNPL (Buy Now Pay Later),33
South Korea,4.2,118,36,Coupang,Kenzo Romero,Payment Gateways,B2C,baby products,Pending,RETURNED,33905,4000790,5085.75,15%,18%,720142.2,3995704.25,28819.25,3280647.8,05-02-2023,09-02-2023,2.3,Social Media,no,DHL Express,33905,Busan,NEW,Next-Day Delivery,Baby Wipes,South Korean Won,no,Social Media,no,GOOD,339.05,Pre-Approved EMI,23
India,2.4,260,37,Jio Mart,Cruz Banerjee,UPI,B2C,daily essentials,Refunded,DELIVERED,31877,8288020,4781.55,15%,18%,1491843.6,8283238.45,27095.45,6796176.4,06-02-2023,10-02-2023,4.6,Direct,no,Xpressbees,31877,Delhi,RETURNING,EXPRESS,fruits & Vegetables,Indian Rupee,yes,directly,yes,BAD,318.77,YES,42
Germany,2.1,291,38,OTTO,Nia Delgado,BNPL,B2C,fashion,Cancelled,DELIVERED,21325,6205575,3198.75,15%,18%,1117003.5,6202376.25,18126.25,5088571.5,07-02-2023,11-02-2023,4.4,Social Media,yes,Blue Dart,21325,Cologne,NEW,Next-Day Delivery,Sneakers,Euro,no,Influencer blogs,no,WORST,213.25,Debit Card EMI,50
Indonesia,1.2,259,39,Tokopedia,Chloe Andrade,COD,B2C AND C2C,ELECTRONICS,Failed,RETURNED,29296,7587664,4394.4,15%,18%,1365779.52,7583269.6,24901.6,6221884.48,08-02-2023,12-02-2023,1.7,app,yes,FedEx,29296,Surabaya,RETURNING,STANDARD,Earphones & Headphones,Indonesian Rupiah,yes,Influencer Marketing,yes,EXCELLENT,292.96,Card EMI,21
Canada,1.5,270,40,Best Buy,Hana Mori,Payment Gateways,B2C,gaming,Refunded,IN TRANSIT,40614,10965780,6092.1,15%,18%,1973840.4,10959687.9,34521.9,8991939.6,09-02-2023,13-02-2023,2.9,Website,no,DTDC,40614,Vancouver,NEW,Next-Day Delivery,Mobile Gaming,Dollar,no,google ads,no,GOOD,406.14,Pre-Approved EMI,40
South Korea,4.2,197,41,Naver Shopping,Liam Andrade,Debit Card,B2C AND C2C,home goods,Cancelled,DELIVERED,46945,9248165,7041.75,15%,18%,1664669.7,9241123.25,39903.25,7583495.3,10-02-2023,14-02-2023,3.9,app,yes,Ecom Express,46945,Seoul,RETURNING,International Delivery,Home Storage & Organization,South Korean Won,yes,email,yes,BAD,469.45,Not Available,47
India,2.4,253,42,Myntra,Zaina Barrett,UPI,B2C,footwear,Paid,DELIVERED,24167,6114251,3625.05,15%,18%,1100565.18,6110625.95,20541.95,5013685.82,11-02-2023,15-02-2023,4.7,Website,no,Ecom Express,24167,Bengaluru,NEW,EXPRESS,Casual Shoes,Indian Rupee,no,Influencer blogs,no,GOOD,241.67,YES,38
Germany,2.1,198,43,media market,Amara Kumar,COD,B2C,audio/video,Pending,DELIVERED,26808,5307984,4021.2,15%,18%,955437.12,5303962.8,22786.8,4352546.88,12-02-2023,16-02-2023,3.5,Direct,yes,Shadowfax,26808,Hamburg,RETURNING,International Delivery,Bluetooth Speakers,Euro,yes,Influencer Marketing,yes,BAD,268.08,NO,43
Indonesia,1.2,114,44,Shopee,Lila Pereira,Credit Card,B2C AND C2C,beauty,Paid,IN TRANSIT,20237,2307018,3035.55,15%,18%,415263.24,2303982.45,17201.45,1891754.76,13-02-2023,17-02-2023,1.8,Social Media,no,Xpressbees,20237,jakarta,RETURNING,Next-Day Delivery,Toners & Mists,Indonesian Rupiah,no,YouTube ads,no,WORST,202.37,NO,36
Canada,1.5,168,45,Walmart CA,Cruz Lambert,Payment Gateways,B2C,HOME,Cancelled,RETURNED,35649,5989032,5347.35,15%,18%,1078025.76,5983684.65,30301.65,4911006.24,14-02-2023,18-02-2023,4.2,Website,yes,Blue Dart,35649,Toronto,RETURNING,EXPRESS,Kitchen & Dining,Dollar,yes,directly,yes,EXCELLENT,356.49,YES,27
Australia,1,177,46,Catch,Elias O'Connor,UPI,B2C,toys,Pending,RETURNED,31438,5564526,4715.7,15%,18%,1001614.68,5559810.3,26722.3,4562911.32,15-02-2023,19-02-2023,3,app,no,FedEx,31438,Sydney,NEW,STANDARD,Plush Toys,Dollar,no,email,no,BAD,314.38,BNPL (Buy Now Pay Later),34
Brazil,1.3,104,47,Amazon BR,Ava Ocampo,BNPL,B2C,home goods,Refunded,IN TRANSIT,41394,4304976,6209.1,15%,18%,774895.68,4298766.9,35184.9,3530080.32,16-02-2023,20-02-2023,1,app,yes,FedEx,41394,São Paulo,RETURNING,International Delivery,Home Décor,Brazilian Real,yes,YouTube ads,no,GOOD,413.94,Not Available,25
Mexico,1.2,215,48,Liverpool,Noah Foley,COD,B2C,Apparel,Cancelled,DELIVERED,27333,5876595,4099.95,15%,18%,1057787.1,5872495.05,23233.05,4818807.9,17-02-2023,21-02-2023,1.5,Website,no,DHL Express,27333,Guadalajara,NEW,Next-Day Delivery,Scarves & Stoles,Mexican Peso,no,email,yes,EXCELLENT,273.33,Bank EMI,22
italy,0.8,215,49,ePrice,Noah Amini,Payment Gateways,B2C,tech gadgets,Failed,IN TRANSIT,47713,10258295,7156.95,15%,18%,1846493.1,10251138.05,40556.05,8411801.9,18-02-2023,22-02-2023,2,Website,yes,Blue Dart,47713,milan,RETURNING,STANDARD,Pop Sockets,Euro,yes,Social Media,yes,WORST,477.13,Debit Card EMI,20
Russia,0.7,199,50,Yandex Market,Elijah Reddy,Net Banking,B2C,fashion,Refunded,RETURNED,22278,4433322,3341.7,15%,18%,797997.96,4429980.3,18936.3,3635324.04,19-02-2023,23-02-2023,0.3,Direct,no,Shadowfax,22278,Moscow,NEW,EXPRESS,Sunglasses,Russian Ruble,no,directly,no,EXCELLENT,222.78,Pre-Approved EMI,31
Spain,0.7,144,51,El Corte Inglés,Noah Shepherd,Debit Card,B2C,Grocery,Cancelled,DELIVERED,41649,5997456,6247.35,15%,18%,1079542.08,5991208.65,35401.65,4917913.92,20-02-2023,24-02-2023,3.6,Social Media,no,DHL Express,41649,madrid,RETURNING,Locker Delivery,fruits & Vegetables,Euro,yes,google ads,no,BAD,416.49,Card EMI,30
Turkey,0.6,106,52,N11,Eren Rahman,Digital Wallets,B2C AND C2C,accessories,Paid,IN TRANSIT,38292,4058952,5743.8,15%,18%,730611.36,4053208.2,32548.2,3328340.64,21-02-2023,25-02-2023,4.5,Social Media,yes,Ecom Express,38292,Istanbul,NEW,Scheduled Delivery,Hats & Caps,Turkish Lira,no,Influencer blogs,yes,GOOD,382.92,BNPL (Buy Now Pay Later),39
Netherlands,0.5,155,53,Bol.com,Anjali Darwish,BNPL,B2C AND C2C,toys,Pending,IN TRANSIT,37645,5834975,5646.75,15%,18%,1050295.5,5829328.25,31998.25,4784679.5,22-02-2023,26-02-2023,2.4,Direct,yes,Xpressbees,37645,Amsterdam,RETURNING,Next-Day Delivery,Dolls & Dollhouses,Euro,yes,Influencer Marketing,no,EXCELLENT,376.45,Pre-Approved EMI,32
Sweden,0.5,293,54,CDON,Malachi Matthews,UPI,B2C AND C2C,games,Paid,DELIVERED,30189,8845377,4528.35,15%,18%,1592167.86,8840848.65,25660.65,7253209.14,23-02-2023,27-02-2023,4,app,yes,DTDC,30189,Stockholm,NEW,International Delivery,PlayStation,Swedish Krona,no,directly,no,WORST,301.89,YES,41
singapore,0.4,266,55,Qoo10,Maaya Nakamura,Digital Wallets,B2C AND C2C,korean goods,Cancelled,RETURNED,49080,13055280,7362,15%,18%,2349950.4,13047918,41718,10705329.6,24-02-2023,28-02-2023,5,Website,yes,FedEx,49080,singapore,RETURNING,International Delivery,Korean Sauces,Dollar,yes,email,yes,GOOD,490.8,NO,33
France,2.6,126,56,Fnac,Mateo Hussain,Credit Card,B2C,music,Pending,IN TRANSIT,23728,2989728,3559.2,15%,18%,538151.04,2986168.8,20168.8,2451576.96,25-02-2023,01-03-2023,2.1,Social Media,no,Blue Dart,23728,Paris,NEW,Next-Day Delivery,Rock,Euro,no,Social Media,yes,BAD,237.28,BNPL (Buy Now Pay Later),23
Australia,1,287,57,Woolworths,Keenan Coleman,Payment Gateways,B2C,household,Refunded,DELIVERED,44598,12799626,6689.7,15%,18%,2303932.68,12792936.3,37908.3,10495693.32,26-02-2023,02-03-2023,1.6,Direct,yes,FedEx,44598,Melbourne,RETURNING,Scheduled Delivery,Floor cleaners,Dollar,yes,google ads,no,EXCELLENT,445.98,Pre-Approved EMI,42
Brazil,1.3,273,58,Mercado Livre,Jace Shukla,COD,B2C AND C2C,ELECTRONICS,Cancelled,DELIVERED,33575,9165975,5036.25,15%,18%,1649875.5,9160938.75,28538.75,7516099.5,27-02-2023,03-03-2023,2.7,Social Media,no,Blue Dart,33575,Rio de Janeiro,NEW,Locker Delivery,Streaming Devices,Brazilian Real,no,directly,yes,WORST,335.75,YES,50
Mexico,1.2,287,59,Mercado Libre,Talia Romano,Cryptocurreny,B2C AND C2C,sports goods,Failed,RETURNED,28484,8174908,4272.6,15%,18%,1471483.44,8170635.4,24211.4,6703424.56,28-02-2023,04-03-2023,1.2,Direct,yes,Ecom Express,28484,Mexico City,RETURNING,EXPRESS,Outdoor & Adventure,mexican Peso,yes,YouTube ads,yes,EXCELLENT,284.84,Debit Card EMI,21
italy,0.8,235,60,Zalando,Rohan Alston,UPI,B2C,accessories,Refunded,IN TRANSIT,36018,8464230,5402.7,15%,18%,1523561.4,8458827.3,30615.3,6940668.6,01-03-2023,05-03-2023,2.5,Website,no,Xpressbees,36018,milan,NEW,STANDARD,Hats & Caps,Euro,no,Influencer blogs,no,GOOD,360.18,Card EMI,40
Russia,0.7,131,61,Ozon,Yasmin Dubois,Net Banking,B2C AND C2C,books,Cancelled,DELIVERED,23108,3027148,3466.2,15%,18%,544886.64,3023681.8,19641.8,2482261.36,02-03-2023,06-03-2023,1.1,app,no,DTDC,23108,Saint Petersburg,RETURNING,EXPRESS,fiction,Russian Ruble,yes,Influencer Marketing,yes,BAD,231.08,Pre-Approved EMI,47
Spain,0.7,128,62,PCComponentes,Salma Kassem,Debit Card,B2C,tech gadgets,Paid,RETURNED,22041,2821248,3306.15,15%,18%,507824.64,2817941.85,18734.85,2313423.36,03-03-2023,07-03-2023,2.3,Website,yes,Shadowfax,22041,Barcelona,NEW,STANDARD,Soundbars,Euro,no,google ads,no,WORST,220.41,Not Available,38
Turkey,0.6,283,63,Hepsiburada,Ivy Shepherd,Digital Wallets,B2C,HOME,Pending,IN TRANSIT,20222,5722826,3033.3,15%,18%,1030108.68,5719792.7,17188.7,4692717.32,04-03-2023,08-03-2023,4.6,app,yes,FedEx,20222,Ankara,RETURNING,Locker Delivery,Furniture,Turkish Lira,no,email,yes,EXCELLENT,202.22,Yes,43
Netherlands,0.5,229,64,Coolblue,Cruz Persaud,BNPL,B2C,computers,Paid,IN TRANSIT,21394,4899226,3209.1,15%,18%,881860.68,4896016.9,18184.9,4017365.32,05-03-2023,09-03-2023,4.4,Direct,no,FedEx,21394,Rotterdam,RETURNING,Next-Day Delivery,Desktops,Euro,no,Influencer blogs,no,GOOD,213.94,No,36
Sweden,0.5,130,65,Elgiganten,Salma Harron,UPI,B2C,tv&audio,Cancelled,RETURNED,36695,4770350,5504.25,15%,18%,858663,4764845.75,31190.75,3911687,06-03-2023,10-03-2023,1.7,Social Media,no,DHL Express,36695,Gothenburg,RETURNING,International Delivery,LED TVs,Swedish Krona,yes,Influencer Marketing,yes,BAD,366.95,Not Available,27
singapore,0.4,180,66,Amazon SG,Arjun Becker,Digital Wallets,B2C,Grocery,Pending,DELIVERED,37642,6775560,5646.3,15%,18%,1219600.8,6769913.7,31995.7,5555959.2,07-03-2023,11-03-2023,2.9,Social Media,yes,Blue Dart,37642,singapore,NEW,Scheduled Delivery,Dairy & Eggs,Dollar,no,YouTube ads,no,WORST,376.42,Pre-Approved EMI,34
France,2.6,218,67,Fnac,Kiara Banerjee,Credit Card,B2C,Appliances,Refunded,DELIVERED,38978,8497204,5846.7,15%,18%,1529496.72,8491357.3,33131.3,6967707.28,08-03-2023,12-03-2023,3.9,Direct,yes,Shadowfax,38978,Marseille,RETURNING,EXPRESS,Refrigerators,Euro,yes,directly,yes,EXCELLENT,389.78,Card EMI,25
China,50,296,68,Tmall,Suri Davis,Payment Gateways,B2C,Fashion,Cancelled,RETURNED,42846,12682416,6426.9,15%,18%,2282834.88,12675989.1,36419.1,10399581.12,09-03-2023,13-03-2023,4.7,app,no,DHL Express,42846,Shanghai,NEW,STANDARD,Sneakers,Chinese Yuan,no,email,no,GOOD,428.46,Debit Card EMI,22
US,27,106,69,eBay,Kiara Coleman,COD,B2C AND C2C,collectibles,Failed,IN TRANSIT,43662,4628172,6549.3,15%,18%,833070.96,4621622.7,37112.7,3795101.04,10-03-2023,14-03-2023,3.5,Website,no,Ecom Express,43662,Los Angeles,RETURNING,Next-Day Delivery,Vintage Posters,Dollar,yes,YouTube ads,yes,BAD,436.62,Bank EMI,29
